Nutrient,Unit_of_measure,Measure_initial,Adults,Infants_1-12_months,Children_1_through_3_years,Pregnant_women_and_lactating_women
Vitamin A,Micrograms RAE2 (mcg),mcg,900,500,300,"1,300"
Vitamin C,Milligrams (mg),mg,90,50,15,120
Calcium,Milligrams (mg),mg,"1,300",260,700,"1,300"
Iron,Milligrams (mg),mg,18,11,7,27
Vitamin D,Micrograms (mcg)3,mcg,20,10,15,15
Vitamin E,Milligrams (mg)4,mg,15,5,6,19
Vitamin K,Micrograms (mcg),mcg,120,2.5,30,90
Thiamin,Milligrams (mg),mg,1.2,0.3,0.5,1.4
Riboflavin,Milligrams (mg),mg,1.3,0.4,0.5,1.6
Niacin,Milligrams NE5 (mg),mg,16,4,6,18
Vitamin B6,Milligrams (mg),mg,1.7,0.3,0.5,2
Folate6,Micrograms DFE7 (mcg),mcg,400,80,150,600
Vitamin B12,Micrograms (mcg),mcg,2.4,0.5,0.9,2.8
Biotin,Micrograms (mcg),mcg,30,6,8,35
Pantothenic acid,Milligrams (mg),mg,5,1.8,2,7
Phosphorus,Milligrams (mg),mg,"1,250",275,460,"1,250"
Iodine,Micrograms (mcg),mcg,150,130,90,290
Magnesium,Milligrams (mg),mg,420,75,80,400
Zinc,Milligrams (mg),mg,11,3,3,13
Selenium,Micrograms (mcg),mcg,55,20,20,70
Copper,Milligrams (mg),mg,0.9,0.2,0.3,1.3
Manganese,Milligrams (mg),mg,2.3,0.6,1.2,2.6
Chromium,Micrograms (mcg),mcg,35,5.5,11,45
Molybdenum,Micrograms (mcg),mcg,45,3,17,50
Chloride,Milligrams (mg),mg,"2,300",570,"1,500","2,300"
Potassium,Milligrams (mg),mg,"4,700",700,"3,000","5,100"
Choline,Milligrams (mg),mg,550,150,200,550
Fat,Grams (g),g,78,30,39,78
Saturated fat,Grams (g),g,20,N/A,10,20
Cholesterol,Milligrams (mg),mg,300,N/A,300,300
Total carbohydrates,Grams (g),g,275,95,150,275
Sodium,Milligrams (mg),mg,"2,300",N/A,"1,500","2,300"
Dietary Fiber,Grams (g),g,28,N/A,14,28
Protein,Grams (g),g,50,11,13,71
Added sugars,Grams (g),g,50,N/A,25,50
